feature_id	bikelane_length_km	mway_length_km	roads_km	slope	sndi	wt_density	density	pop	sndi_cars	sndi_difference
0x10294dc366c5cb3b:0x221133ef84b9b035	0.0338648630009026	0.0	271.851	2.5321285656669685	2.8756077094509798	7217.369546513853	5892.645687392205	147316.14218480512	3.6307413372158406	0.7551336277648608
0x103759972eb09b09:0xd8438d5568aa2269	0.1926872494508685	22.156118370220376	977.187	2.548178402082601	3.2218761756298813	12648.350108248593	7556.435530044289	559176.2292232774	3.314303893654023	0.09242771802414174
0x103b8b2ae68280c1:0xdc9e87a367c3d9cb	1.965543838243263	199.02113011742685	7282.436	1.053949156347798	4.934094614000758	25749.125039321	11663.15655146944	9528798.902550532	5.254751867930533	0.3206572539297756
0x103bf75df5c74367:0x6a7e7df9d6c1cd4a	0.6026702798502811	5.547288943201826	2409.606	0.7242573650579659	6.669331688944671	3506.770271731364	879.8001802294799	574509.5176898504	6.797693588360735	0.12836189941606424
0x104382bd8b94e753:0xcf2391eb8abd4753	2.517802841560253	0.0	433.463	3.1197931439320814	3.704742264321141	6139.761442624948	5321.676414008547	159650.29242025642	3.7739530306856217	0.06921076636448076
0x1044a3cf887d1a25:0x9e342e82908e0c3d	0.412904915621464	0.0	1229.463	3.323093892288666	4.586313647435126	9932.009527891674	8006.018868111545	696523.6415257044	4.711707040152788	0.1253933927176627
0x104c71b71a3836ef:0x6d6e07057bc60d5b	1.161675113409935	0.0	974.58	2.287114982052912	3.534282342505706	6678.273855197807	5741.880435033714	424899.1521924948	3.546540749280842	0.0122584067751359
0x1053724e68ec1c83:0x21ebe700fbd5381d	2.112712773592395	0.0	1188.927	3.372853255095609	4.981185446190718	5034.853377722265	4350.809643077283	430730.154664651	5.144969762328394	0.16378431613767575
0x1067862eeaabcc29:0xa2b8722fb5b0b458	0.9382266499743936	0.0	916.134	2.901984176039696	4.690377140013346	11317.207663411818	6738.620695748976	566044.138442914	4.731700258420526	0.04132311840718028
0x11d0756cc0ddfc65:0x81ce4bafda77b74e	56.222395634784725	0.0	2305.14	1.0813998033268626	1.7108094105339284	9189.946597935585	6403.195078652245	1114155.9436854906	1.829241620111297	0.11843220957736866
0x12979259c61ac757:0xc40d5406c3d058c6	48.74957924857527	17.01337918086602	392.671	2.1201598195852585	1.2509152866276865	16207.633354639329	10185.26717762243	254631.67944056075	2.154553482669268	0.9036381960415816
0x129946bc6d9d1985:0xb6ca1af29357fa88	6.091619947397792	0.0	70.959	2.1923245406464527	1.3414401881920806	8233.572510441445	5831.62726213932	29158.1363106966	3.004798071776637	1.6633578835845566
0x12a150e4b86d9e5d:0x2e2190d249deced2	18.73185115858161	0.0	148.714	2.2913540594316832	1.381525296715091	12817.127090966538	10423.095729008315	72961.67010305822	1.739843733621718	0.358318436906627
0x12a15ae1547f4e3f:0xff12a14cb75f8750	25.50611312714248	0.8554561428727995	161.955	1.8539434206194996	1.9636940437184047	3260.6465198778824	2398.8827599113188	21589.944839201868	2.370997751159088	0.4073037074406831
0x12a386f797cd9edf:0xe43fea2d6027be1	19.58685248842123	0.0	157.111	2.75398030428558	1.969498048550835	7185.502496170585	4110.118859925594	53431.54517903272	2.4003552478976595	0.4308571993468244
0x12a3fcdbd3ddf159:0x920569a71387a3b2	13.214000363135453	23.81312481756204	174.801	3.3406122076950395	2.0420984194284624	9346.782768383016	6668.78072392034	100031.7108588051	2.459281116764411	0.4171826973359485
0x12a469dd0ad22785:0x8372c0f219b85a57	7.821022391812305	0.0523420938903003	105.858	4.571967076484849	1.1477370619503509	7053.853794303194	5821.506988113746	34929.04192868248	1.4824523659190256	0.33471530396867477
0x12a4798adfdbf557:0x136fbb2ddafe4438	9.916672295886531	0.0	83.415	2.617051047148164	1.2273793755004636	10844.391198268046	7388.255964728817	36941.27982364409	1.7059524589341604	0.47857308343369676
0x12a482becb445f4f:0xc9f576ce44531eab	15.046229852958533	14.343915445707523	159.045	4.652891358155377	1.952904195341332	7793.287340046895	6100.871925333092	67109.591178664	2.3574297413378	0.40452554599646784
0x12a49177f830e3c5:0xfaeb6982d5b8dffe	2.6415976567700645	0.0	134.28	4.348149742694259	1.9149290602762328	8795.294690916673	6790.074562620372	47530.5219383426	2.273862136345932	0.3589330760696994
0x12a492e820fabbfd:0xab0d33c5f2c73098	29.486872934778816	10.176776525601795	331.88	3.851373111780952	1.2776949633188144	15024.925493162576	12233.879644564244	207975.9539575921	1.5340573381471962	0.25636237482838187
0x12a494fd00277675:0x3691e3615821df42	30.78268242984854	2.9369981501721933	296.998	3.30908830100964	1.342438089563577	15385.826587449916	13239.300025773791	198589.5003866069	1.5904823691608176	0.24804427959724062
0x12a496c2a6d57035:0xb16124d430411319	21.525927807160468	3.010244894010601	115.828	3.009015910625458	1.354756409457155	6905.006082388529	5949.010192398514	41643.0713467896	1.8656404676934089	0.5108840582362539
0x12a49816718e30e5:0x44b0fb3d4f47660a	343.3931742852613	11.278443114929631	1348.242	6.872223267482342	1.4884920187477175	28100.07873429973	17724.256503822766	1807874.163389922	2.060164810059878	0.5716727913121606
0x12a498e7672e0317:0x36127a984f4c05d5	34.88288361021231	10.938506078997738	195.499	2.151536938860207	1.4172575148593882	27499.566787711068	21678.1821973236	303494.5507625304	2.0059295839133022	0.588672069053914
0x12a4995b21dba8f9:0x400fae021a40690	18.02735914967869	0.0	86.46	2.9736809915592595	1.7170673280570652	21093.43395122628	18465.64070360586	92328.2035180293	2.2491386814041547	0.5320713533470895
0x12a49be805431d77:0x71376d1e9f1282ed	17.15496638161726	2.287834025937093	48.596	3.818450475662527	1.5269333582330114	12758.11742121127	10618.199363721536	42472.79745488614	2.13110032738093	0.6041669691479186
0x12a49c18c56e6ecb:0xa99219dfb6b2176e	41.16994000863062	9.673135562334553	135.258	4.431589096985055	1.8612482301931303	12465.276948149394	9526.848411495072	85741.63570345566	2.701862318884753	0.8406140886916227
0x12a4b518d7addc71:0xd6b932f372b5918	24.37175364402333	7.296645732773554	155.349	5.633443550248841	1.3388911968835022	19655.873470110306	15328.746581830084	91972.4794909805	1.6114906185600169	0.27259942167651463
0x12a4bb1298efb741:0x987b0abc3e6ea84d	16.540856136064043	16.23785805781123	220.283	3.9959753675041374	1.2398703112700211	23959.805589568376	21136.76028685813	232504.3631554395	1.695838121102351	0.4559678098323299
0x12a4bc87d8dda1f5:0x62a5c003c7b27b8	7.35866047818685	0.4754100202201958	83.816	7.847949212607072	1.4873016731551787	32670.92753433082	28069.37232623901	112277.48930495603	2.116078725441753	0.6287770522865741
0x12a4bcaa5d0e78c3:0x400fae021a40e00	14.785214706002844	4.809094636286773	68.734	1.0339854903519154	1.4919563887546423	11650.713621209658	10980.099140577018	32940.297421731055	1.874238971605972	0.38228258285132966
0x12a4bde21863370b:0xe444d8f66cca68ca	1.2835502632906286	1.1902992710991762	41.724	3.8281929104224495	1.6195734897956169	18616.744039058685	18616.744039058685	18616.744039058685	2.5413061382895523	0.9217326484939354
