,feature_id,contained
0,0x102078a5400d3e29:0xccdf4b5d4026488b,False
1,0x102725152a227ba1:0x9da6ad4a4c9a2107,False
2,0x1027a8ee67aa0e8b:0x8745bc0e9eefd489,False
3,0xe2b3768e23ffb8f:0x2a8147b3ff8bddb,False
4,0xfcd7cd8a11667df:0x7011cb72ef706fdc,False
5,0xfd43c903162fdeb:0x83f46c1562717cde,False
6,0xfdacf2948671391:0xb6cac72b91017af,False
7,0xfdb93e59a4e4c49:0x829c711d7b65e682,False
8,0xfdbea8ca9644aed:0x643f80b764c4a121,False
9,0xfdc6f9ea8742a7d:0x65d180fbb6ba5779,False
10,0xfdd119fa41eff67:0x5f83bce0e069228c,False
11,0xfddfc29c7b3faad:0xeae5bdfb8639e093,False
12,0xfde34e8ffe3e31b:0x4a1a58fce2485ac9,False
13,0xfde4e6ee312f0bd:0xc87788dbbb8a4a44,False
14,0xfde92287106d65d:0x6acb9fcc866968ca,False
15,0xfdf4035371e4685:0xd63ba66d68af3d02,False
16,0xfdf82daa00ea951:0xfb74fe2f3b10f97b,False
17,0xfdf9084b2b7a773:0xbed14ed8650e2dd3,False
18,0xfdf9d4bf3df2705:0xabb3a0b03ce7c209,False
19,0xfdf9ec50e01e791:0x89f442ad3dae3334,False
20,0xfdfbaedda8d54f7:0xd48e16c6c340829a,False
21,0xfdfbb3d920c2ae5:0x9801e229a911a596,False
22,0xfe7799a7b4d8bd9:0xd5df62ba6ac74520,False
23,0xfe77b84254c1379:0x22e96bc5819876dd,False
24,0x102354e509f894f7:0xc8fde921f89849f6,False
25,0x1023581bc6334887:0x1bb3a6db6f9f6878,False
26,0x102361980628a263:0xaec20944ccfbc4ee,False
27,0x102464fe2cf40349:0x9ccfb20a4b0f917b,False
28,0x1024a81afbbf5e69:0x3dfbbae6ef02352f,False
29,0x1024a907d5334d9b:0xb28a9b10ccbc460a,False
30,0x10251b52758a930d:0x3d49c117e3f8c09f,False
31,0x10251c001c417837:0x8de8c06be6f95346,False
32,0x10320550a556d695:0x706d4b90bc86232d,False
33,0x103b59f10ade4b9f:0xe164e70dda515a56,False
34,0x103b5b067ab07521:0x9d059be567af346b,False
35,0x103ca9fa183eae41:0x6fe916659cdaa2f1,False
36,0x103caa466b4f2f95:0x72832e6d91f86902,False
37,0x1023e1c113185419:0x3224b5422caf411d,False
38,0x1026e2c4c9c46bf7:0x6126b27053282a83,False
39,0x10294dc366c5cb3b:0x221133ef84b9b035,False
40,0x1030b0127530cdfd:0x2f2d6722c5443761,False
41,0x103117eb28589047:0xf4ac2b4615499590,False
42,0x1036528d9c605049:0xf59fa28215d71df1,False
43,0x1036aecb46a0f9d7:0x569be2ad6a2ef262,False
44,0x1036ebb85f1ba7cd:0xed7e6e59d9df119a,False
45,0x103759972eb09b09:0xd8438d5568aa2269,False
46,0x103778007f3cf03f:0xfadc3f137bdf5710,False
47,0x10377a2891e7f1ff:0x2820a8c897efd206,False
48,0x1037839a03d398c7:0xbcacc6edf201598c,False
49,0x103786c9c76904b7:0x7efd1011b0c24e7c,False
50,0x103787e4c949b8fd:0x33c62c1600f59277,False
51,0x10378d2781a55e63:0xe93b56e20593f18b,False
52,0x10378dbf6f5514bd:0x30e4842f5e6eebc8,False
53,0x103791802e27beb7:0x4c32f77ecd38906e,False
54,0x1037c084d765da3f:0xb432161be9eedf33,False
55,0x1038008d97326259:0xd7c859acf74f9735,False
56,0x1038037c9c9aa8ff:0xa36f9b387caf635d,False
57,0x10381864e6a92e51:0x7d0b50fcef2f8ccf,False
58,0x103829b20138cf6d:0x3baebcd1703938b3,False
59,0x103837643f7c9463:0xdf9c1547fe8ff6d8,False
60,0x10386269d18b3449:0x4f347e4670cd572e,False
61,0x103897c275a4faf5:0x23ce91209af63653,False
62,0x103945de81c3d5c1:0x53ad7cfc19cae1be,False
63,0x103968a66d1a278b:0xbc9c567eae180351,False
64,0x1039705220306be7:0x5ce33be6c95a980b,False
65,0x10398d77eeff086f:0x3b33e0f76e8e04a9,False
66,0x1039b9650bc88e93:0x27ec7b03f838baf1,False
67,0x1039db0e6d74358b:0xcc0948ba39ef7541,False
68,0x103a134ab457a847:0xefd3fe01fd9846ab,False
69,0x103a4bf6995dfc7f:0x6734fcf62892478d,False
70,0x103a682e1adfef0b:0xe710e8f37663ba9d,False
71,0x103b0f2d6fdabed7:0x7712f9a4f365399a,False
72,0x103b423e5b105281:0x3feee0409fe44317,False
73,0x103b625e227e0c67:0x25b1c6c3a8348663,False
74,0x103b70123ac22f3f:0xfb992d30b6689f8a,False
75,0x103b73a7f26e2a05:0x9b460a6a3e49a18f,False
76,0x103b8b2ae68280c1:0xdc9e87a367c3d9cb,False
77,0x103b9381601e96b5:0x8d79a42c1c6bb9d4,False
78,0x103b93ea60971ee3:0xd335301146fdc207,False
79,0x103b95c8da603c83:0xe23435c9fc8d301b,False
80,0x103b9711b120ce69:0xc6ccb8612c87e58f,False
81,0x103b97d3a6bf9f41:0x79e5f1a30193c5a6,False
82,0x103b9903ef9912d7:0x4f1a317e5c3e4b00,False
83,0x103ba3932b47d1e1:0x43723e3e664954ba,False
